Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 19/11/2019 14:44
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 18/11/2019

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor
CAIXA - 20190068;12779;Jaquirana;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei municipal nº 1.333, de 3 de julho de 2018";17944.100485/2019-00;51452960;23/04/2019;10/05/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;2.414.552,77;2.414.552,77;0,00;
CAIXA - 20190070;12780;Caarapó;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Pró-Transporte. Lei municipal nº 1.351, de 26 de junho de 2018";17944.109031/2018-13;50406331;16/04/2019;08/04/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;7.132.582,19;7.132.582,19;0,00;
CAIXA - 20190072;12866;Caarapó;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte - Lei Municipal nº 1.351, de 26 de junho de 2018";17944.109074/2018-91;50406445;16/04/2019;08/05/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;7.641.778,85;7.641.778,85;0,00;
CAIXA - 20190077;12802;Timbó;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei Municipal nº 2.997, de 11 de setembro de 2018";17944.100176/2019-21;50141188;13/05/2019;07/04/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;15.000.000,00;15.000.000,00;0,00;
CAIXA - 20190079;12782;Prudentópolis;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Pró-Transporte. Lei municipal nº 2.313, de 23 de maio de 2018";17944.109627/2018-13;50414959;16/04/2019;01/05/2020;TR;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 6%, Tranche Prevista 1: 6%;R$;10.000.000,00;9.317.273,79;682.726,20;
CAIXA - 20190081;12781;Garça;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Saneamento para Todos. Lei nº 5.234, de 28 de junho de 2018";17944.108281/2018-28;50595330;22/03/2019;06/10/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;2.922.370,77;2.922.370,77;0,00;
CAIXA - 20190085;12833;Passos Maia;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Realização de Obras de Qualificação Viária do Município de Passos Maia/SC. Lei municipal nº 809/2018, de 17/07/2018.";17944.110032/2018-01;9999;14/06/2019;15/06/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;2.066.985,19;2.066.985,19;0,00;
CAIXA - 20190087;12836;Bom Jesus;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Obras de qualificação viária do Município de Bom Jesus/SC no âmbito do Pró-Transporte";17944.100135/2019-35;50126177;14/06/2019;06/07/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;1.965.550,00;1.965.550,00;0,00;
CAIXA - 20190091;12841;Concórdia;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei Municipal nº 5.027, de 13 de dezembro 2017.";17944.101326/2019-14;50086668;13/06/2019;29/02/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;2.990.883,24;2.990.883,24;0,00;
CAIXA - 20190100;12867;Aquidauana;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei Municipal nº 2.603, de 21 de dezembro de 2018";17944.101425/2019-04;50219038;21/08/2019;03/03/2021;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;15.000.000,00;15.000.000,00;0,00;
CAIXA - 20190106;12876;Tio Hugo;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Execução de obras/serviços no âmbito do Programa Pró-Transporte. Lei municipal nº 979, de 13 de março de 2018.";17944.100917/2019-74;50537084;14/08/2019;30/09/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;1.166.167,00;1.166.167,00;0,00;
CAIXA - 20190108;12878;Entre Rios;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei Municipal nº 739, de 13 de dezembro de 2018";17944.109675/2018-01;50284988;30/07/2019;31/03/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;1.049.142,00;1.049.142,00;0,00;
CAIXA - 20190110;12877;Ivinhema;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte - Lei Municipal nº 1.660, de 23 de janeiro de 2019.";17944.102066/2019-02;50406551;12/09/2019;30/09/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;5.388.826,91;5.388.826,91;0,00;
CAIXA - 20190118;12879;Tapejara;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte. Lei Municipal nº 4.288, de 6 de novembro de 2018";17944.102190/2019-60;50402349;09/08/2019;31/08/2022;TR;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 6%, Tranche Prevista 1: 6%;R$;14.232.697,72;13.498.248,71;734.449,01;
CAIXA - 2019089;12846;Concórdia;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;CAIXA;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Pró-Transporte - obras de infraestrutura para não motorizados do município de Concórdia/SC";17944.101316/2019-89;50099072;13/06/2019;13/03/2020;TR;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 6%;R$;1.795.080,66;1.795.080,66;0,00;
CFA004591;12306;Canoas;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"Projeto de Macrodrenagem, Recuperação Ambiental e Desenvolvimento Urbano - Fase I";17944.000974/2007-11;AAA04591;28/12/2007;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,9%, Tranche Prevista 1: 100% Libor + 0,9%;USD;15.076.500,00;0,00;0,00;
CFA004625;12313;Feira de Santana;Municípios;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"Projeto de Integração Urbana";17944.000886/2007-19;aaa04625;15/02/2008;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,9%, Tranche Prevista 1: 100% Libor + 0,9%;USD;11.737.000,00;0,00;0,00;
CFA005034;12317;Manaus;Municípios;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Infra-Estrutura Urbana e Ambiental no Município de Manaus";17944.000823/2008-43;aa111888;07/10/2008;05/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,35%, Tranche Prevista 1: 100% Libor + 1,35%;USD;75.000.000,00;0,00;25.128.224,13;
CFA005041;12318;Sorocaba;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"Programa Ambiental e de Integração Social do Município de Sorocaba";17944.001512/2007-11;0005041d;08/09/2008;05/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,9%, Tranche Prevista 1: 100% Libor + 0,9%;USD;42.790.000,00;0,00;0,00;
CFA005614;12307;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Infaestrutura rodoviária do Pará";17944.000541/2008-46;AAA05614;08/07/2009;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,05%, Tranche Prevista 1: 100% Libor + 1,05%;USD;85.000.000,00;0,00;36.148.985,40;
CFA005978;12308;Caxias do Sul;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento da Infraestrutura Municipal e Serviços Básicos de Caxias do Sul";17944.001572/2008-14;aaa05978;14/12/2009;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,35%, Tranche Prevista 1: 100% Libor + 2,35%;USD;28.800.000,00;0,00;13.200.000,22;
CFA006271;12322;Paraíba;Estados;PB;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Pavimentação e Recuperação de Rodovias do Estado da Paraíba";17944.001238/2008-61;1111cfff;26/04/2010;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,4%, Tranche Prevista 1: 100% Libor + 2,4%;USD;100.000.000,00;0,00;60.714.285,73;
CFA006800;12323;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Integração Regional de Santa Catarina ¿ PIR/SC";19406.000203/2008-27;111Sc111;31/08/2010;10/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,35%, Tranche Prevista 1: 100% Libor + 2,35%;USD;32.558.000,00;0,00;17.758.909,10;
CFA007783;12331;Hortolândia;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Infra-estrutura Urbana e Proteção de Áreas Naturais de Hortolândia";17944.001368/2010-18;77778333;09/04/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,33%, Tranche Prevista 1: 100% Libor + 2,33%;USD;22.132.000,00;0,00;13.832.499,97;
CFA007786;12333;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Drenagem Urbana de Fortaleza - DRENURB";17944.000672/2010-48;77777866;14/05/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,65%, Tranche Prevista 1: 100% Libor + 2,65%;USD;45.100.000,00;0,00;31.945.833,31;
CFA007788;12332;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Nacional de Desenvolvimento do Turismo de Fortaleza - PRODETUR";17944.000377/2011-72;77777788;14/05/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,65%, Tranche Prevista 1: 100% Libor + 2,65%;USD;50.000.000,00;0,00;35.416.666,69;
CFA007948;12336;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Facilidade Regional de Financiamento para o Atendimento Imediato a Emergências Ocasionadas por Fenômenos Naturais";17944.000237/2012-85;TA621448;13/09/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,55%, Tranche Prevista 1: 100% Libor + 2,55%;USD;100.000.000,00;0,00;46.203.903,46;
CFA007949;12335;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Melhorias e Implantação da Infraestrutura Viária do Rio de Janeiro - Pro-Vias";17944.000233/2012-05;TA621516;13/09/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,6%, Tranche Prevista 1: 100% Libor + 2,6%;USD;319.675.000,00;0,00;136.966.203,43;
CFA007950;12343;Aparecida de Goiânia;Municípios;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Reestruturação Viária da Bacia do Ribeirão do Santo Antonio de Aparecida de Goiânia";17944.000291/2001-40;00000007;31/08/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,65%, Tranche Prevista 1: 100% Libor + 2,65%;USD;35.000.000,00;0,00;26.250.000,02;
CFA007996;12339;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Reforma e Adequação do Estádio do Maracanã para a Copa do Mundo 2014";17944.000493/2012-72;TA625605;22/11/2012;12/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,8%, Tranche Prevista 1: 100% Libor + 2,6%;USD;120.666.000,00;0,00;78.897.000,00;
CFA008002;12338;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Obras Complementares do Arco Metropolitano do Rio de Janeiro";17944.000234/2012-41;TA625707;05/12/2012;15/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,8%, Tranche Prevista 1: 100% Libor + 2,6%;USD;200.000.000,00;0,00;127.763.342,47;
CFA008006;12337;Manaus;Municípios;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Nacional de Desenvolvimento do Turismo - PRODETUR Nacional Manaus";17944.000061/2012-61;88888888;13/11/2012;04/02/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,65%, Tranche Prevista 1: 100% Libor + 2,65%;USD;21.512.846,00;0,00;11.187.106,11;
CFA008253;12311;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Transporte, Logística e Meio Ambiente";17944.000068/2013-64;aa825300;23/08/2013;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,65%, Tranche Prevista 1: 100% Libor + 2,65%;USD;200.000.000,00;0,00;153.429.544,82;
CFA008261;12310;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Valorização Turística do Litoral Oeste - Ceará";17944.001309/2012-10;aaa82610;28/08/2013;28/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,55%, Tranche Prevista 1: 100% Libor + 2,55%;USD;62.857.157,62;16.757.046,67;34.575.083,23;
CFA008262;12341;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Valorização Turística do Litoral Oeste - Ceará";17944.001309/2012-10;00000008;28/08/2013;28/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,55%, Tranche Prevista 1: 100% Libor + 2,55%;USD;49.142.842,38;4.806.252,77;33.252.442,21;
CFA008586;12622;Canoas;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Integrado de Investimentos para Revitalização e Ampliação da Infraestrutura Urbana de Canoas - Canoas para Todos";17944.001148/2013-37;CFA00858;24/06/2014;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,55%, Tranche Prevista 1: 100% Libor + 2,55%;USD;50.000.000,00;0,00;38.888.888,88;
CFA008680;12342;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Sistema de Macrodrenagem do rio Baquirivu-guaçu.";17944.000501/2013-61;00008000;25/07/2014;25/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,4%, Tranche Prevista 1: 100% Libor + 2,4%;USD;204.000.000,00;158.965.870,93;41.450.036,50;
CFA008715;12316;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Sócio-Ambiental dos Igarapés de Manaus ¿ PROSAMIM";17944.000202/2013-27;aa087150;29/09/2014;11/10/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,35%, Tranche Prevista 1: 100% Libor + 2,35%;USD;52.500.000,00;0,00;10.370.742,51;
CFA008717;12312;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Integração Viária do Planalto Norte do Estado de Santa Catarina ¿ PROVIAS-SC";17944.001335/2012-30;aaa08717;26/08/2014;28/09/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,6%, Tranche Prevista 1: 100% Libor + 2,6%;USD;55.000.000,00;0,00;46.937.370,60;
CFA009477 - CFA009481;12346;Porto Alegre;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa ORLA POA ¿ Organicidade e Requalificação do Espaço Urbano, do Lazer, do Acesso e Mobilidade de Porto Alegre";17944.000819/2015-12;CAF00000;10/08/2016;10/08/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2,05%, Tranche Prevista 1: 100% Libor + 2,05%;USD;92.000.000,00;41.933.410,18;50.066.589,82;
CFA009728;12623;Niterói;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa Região Oceânica Sustentável / Pro-Sustentável";17944.001832/2014-08;CFA00972;30/11/2016;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,95%, Tranche Prevista 1: 100% Libor + 1,95%;USD;100.000.000,00;60.060.626,03;39.939.373,97;
CFA009883;12411;Alagoinhas;Municípios;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Requalificação Urbana, Ambiental e Promoção Social do Município de Alagoinhas.";17944.000164/2014-93;ALAGOI01;17/05/2017;17/05/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2%, Tranche Prevista 1: 100% Libor + 2%;USD;11.500.000,00;3.972.250,00;7.527.750,00;
CFA010048 - CFA010051;12605;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Infraestrutura Urbana de São Bernardo do Campo - PROINFRA";17944.000503/2016-01;TA782895;05/10/2017;05/10/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 2%, Tranche Prevista 1: 100% Libor + 2%;USD;125.000.000,00;30.300.593,29;94.699.406,71;
CFA010131;12606;Taubaté;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Melhoria da Mobilidade Urbana e Socioambiental de Taubaté";17944.000566/2015-79;TA767601;01/12/2017;01/12/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,85%, Tranche Prevista 1: 100% Libor + 1,85%;USD;60.000.000,00;24.093.423,84;35.906.576,16;
CFA010157;12624;Caxias do Sul;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;": Programa de Desenvolvimento da Infraestrutura e dos Serviços Básicos de Caxias do Sul II (PDI II)";17944.000189/2015-78;CFA01015;28/12/2017;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,95%, Tranche Prevista 1: 100% Libor + 1,95%;USD;33.000.000,00;27.689.240,56;5.310.759,44;
CFA010352 - CFA010356;12689;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Fortaleza - Cidade com Futuro";17944.000355/2014-55;TA722498;04/06/2018;04/06/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,75%, Tranche Prevista 1: 100% Libor + 1,75%;USD;83.250.000,00;63.550.000,00;19.700.000,00;
CFA010450;12718;Hortolândia;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa de Infraestrutura Urbana e Desenvolvimento Sustentável";17944.000580/2017-34;TA813982;05/09/2018;05/09/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,65%, Tranche Prevista 1: 100% Libor + 1,65%;USD;42.000.000,00;36.965.459,20;5.034.540,80;
CFA010491 - CFA010502;12723;Teresina;Municípios;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;CAF;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa De Desenvolvimento Urbano Integrado - Teresina Sustentável";17944.102108/2017-35;TA824225;28/09/2018;28/09/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1,75%, Tranche Prevista 1: 100% Libor + 1,75%;USD;45.982.658,96;43.489.595,41;2.493.063,55;
